date,Branch_7
2024-01-01,1927461
2024-01-02,3978909
2024-01-03,1336154
2024-01-04,5184567
2024-01-05,105501
2024-01-06,1929454
2024-01-07,1948601
2024-01-08,965370
2024-01-09,208497
2024-01-10,155832
2024-01-11,3623865
2024-01-12,130236
2024-01-13,254276
2024-01-14,1574671
2024-01-15,1454468
2024-01-16,931893
2024-01-17,5175089
2024-01-18,2877807
2024-01-19,1264511
2024-01-20,665659
2024-01-21,459322
2024-01-22,55255
2024-01-23,1160324
2024-01-24,2807700
2024-01-25,1741040
2024-01-26,4631652
2024-01-27,1232965
2024-01-28,362321
2024-01-29,2377306
2024-01-30,1521254
2024-01-31,4176411
2024-02-01,25332
2024-02-02,4503727
2024-02-03,991036
2024-02-04,851681
2024-02-05,4039528
2024-02-06,770819
2024-02-07,260528
2024-02-08,1242951
2024-02-09,355904
2024-02-10,2229822
2024-02-11,1922295
2024-02-12,4039310
2024-02-13,2388216
2024-02-14,114044
2024-02-15,5200704
2024-02-16,3201829
2024-02-17,4031488
2024-02-18,7718521
2024-02-19,2425127
2024-02-20,6695780
2024-02-21,3931414
2024-02-22,1042900
2024-02-23,3203258
2024-02-24,75316
2024-02-25,641643
2024-02-26,576689
2024-02-27,4542985
2024-02-28,431891
2024-02-29,508426
2024-03-01,800286
2024-03-02,9209743
2024-03-03,1027521
2024-03-04,6394203
2024-03-05,2029748
2024-03-06,198393
2024-03-07,3118202
2024-03-08,1304625
2024-03-09,773793
2024-03-10,916771
2024-03-11,1530170
2024-03-12,1792845
2024-03-13,1717984
2024-03-14,1146290
2024-03-15,11258674
2024-03-16,371312
2024-03-17,8044597
2024-03-18,1294165
2024-03-19,107659
2024-03-20,12420151
2024-03-21,522847
2024-03-22,1170892
2024-03-23,3563225
2024-03-24,3338430
2024-03-25,1949470
2024-03-26,3843900
2024-03-27,211363
2024-03-28,308917
2024-03-29,627278
2024-03-30,1084509
2024-03-31,7721577
2024-04-01,7894145
2024-04-02,257119
2024-04-03,72177
2024-04-04,6666397
2024-04-05,4693476
2024-04-06,5887047
2024-04-07,4184506
2024-04-08,1083897
2024-04-09,9688938
2024-04-10,4568462
2024-04-11,4318651
2024-04-12,5293270
2024-04-13,1296875
2024-04-14,8481337
2024-04-15,6831595
2024-04-16,5130883
2024-04-17,52455
2024-04-18,5829877
2024-04-19,1619005
2024-04-20,533711
2024-04-21,3250535
2024-04-22,14331745
2024-04-23,921244
2024-04-24,4288098
2024-04-25,3262396
2024-04-26,3498811
2024-04-27,6257772
2024-04-28,457836
2024-04-29,5398469
2024-04-30,5360104
2024-05-01,1312795
2024-05-02,2655316
2024-05-03,2105784
2024-05-04,3065509
2024-05-05,9556549
2024-05-06,1550499
2024-05-07,709379
2024-05-08,126934
2024-05-09,4410770
2024-05-10,14156511
2024-05-11,1615737
2024-05-12,8468723
2024-05-13,1651555
2024-05-14,653610
2024-05-15,1335059
2024-05-16,1145015
2024-05-17,640886
2024-05-18,2192746
2024-05-19,5652429
2024-05-20,1643865
2024-05-21,923710
2024-05-22,1354750
2024-05-23,4258243
2024-05-24,435312
2024-05-25,1271551
2024-05-26,2122097
2024-05-27,2932506
2024-05-28,451177
2024-05-29,2932732
2024-05-30,5882937
2024-05-31,2438758
2024-06-01,1654000
2024-06-02,2818739
2024-06-03,2647692
2024-06-04,4108477
2024-06-05,9922399
2024-06-06,8939437
2024-06-07,2435869
2024-06-08,221167
2024-06-09,6371084
2024-06-10,1426444
2024-06-11,1626819
2024-06-12,744859
2024-06-13,1005155
2024-06-14,1287611
2024-06-15,1951213
2024-06-16,1802668
2024-06-17,3165428
2024-06-18,801422
2024-06-19,6296436
2024-06-20,1050393
2024-06-21,5480160
2024-06-22,8337930
2024-06-23,3728428
2024-06-24,1830493
2024-06-25,9956819
2024-06-26,851823
2024-06-27,2167920
2024-06-28,1598065
2024-06-29,2623643
2024-06-30,3620307
2024-07-01,13518436
2024-07-02,3400829
2024-07-03,3003336
2024-07-04,12661741
2024-07-05,10531837
2024-07-06,6110222
2024-07-07,12325121
2024-07-08,7855864
2024-07-09,2628632
2024-07-10,8478384
2024-07-11,1566299
2024-07-12,7824412
2024-07-13,8906254
2024-07-14,2098110
2024-07-15,2975446
2024-07-16,4723876
2024-07-17,2426795
2024-07-18,16047768
2024-07-19,2092012
2024-07-20,8003887
2024-07-21,603260
2024-07-22,1260021
2024-07-23,467504
2024-07-24,3849228
2024-07-25,2973999
2024-07-26,631518
2024-07-27,517925
2024-07-28,814155
2024-07-29,717385
2024-07-30,9316568
2024-07-31,2153758
2024-08-01,1503647
