date,Branch_10
2024-01-01,824378
2024-01-02,652018
2024-01-03,1022549
2024-01-04,231817
2024-01-05,2017051
2024-01-06,795261
2024-01-07,1638622
2024-01-08,1549962
2024-01-09,3480892
2024-01-10,2507540
2024-01-11,1576114
2024-01-12,680249
2024-01-13,1780687
2024-01-14,1566812
2024-01-15,2040988
2024-01-16,1907672
2024-01-17,1871346
2024-01-18,34627
2024-01-19,820151
2024-01-20,334132
2024-01-21,1492187
2024-01-22,1081238
2024-01-23,713777
2024-01-24,1825713
2024-01-25,330443
2024-01-26,2246553
2024-01-27,1386682
2024-01-28,3000859
2024-01-29,851699
2024-01-30,1155705
2024-01-31,1305998
2024-02-01,6238542
2024-02-02,1751993
2024-02-03,414636
2024-02-04,3196841
2024-02-05,3203565
2024-02-06,4260909
2024-02-07,1486520
2024-02-08,238642
2024-02-09,2290537
2024-02-10,6607837
2024-02-11,2437401
2024-02-12,1056012
2024-02-13,3269528
2024-02-14,5029436
2024-02-15,3927098
2024-02-16,1533829
2024-02-17,3138779
2024-02-18,6295077
2024-02-19,667784
2024-02-20,6390039
2024-02-21,3608420
2024-02-22,2021589
2024-02-23,32669
2024-02-24,1828850
2024-02-25,559415
2024-02-26,2513816
2024-02-27,1863202
2024-02-28,722215
2024-02-29,3708996
2024-03-01,338143
2024-03-02,1541790
2024-03-03,2201149
2024-03-04,21686
2024-03-05,1157330
2024-03-06,341317
2024-03-07,748795
2024-03-08,961327
2024-03-09,2013534
2024-03-10,1887084
2024-03-11,7728693
2024-03-12,2256113
2024-03-13,1286165
2024-03-14,4664694
2024-03-15,2352682
2024-03-16,257774
2024-03-17,50771
2024-03-18,1431040
2024-03-19,2785729
2024-03-20,1393493
2024-03-21,3383120
2024-03-22,2387597
2024-03-23,1873095
2024-03-24,4093860
2024-03-25,86742
2024-03-26,1419544
2024-03-27,4308566
2024-03-28,1187742
2024-03-29,2009453
2024-03-30,1026119
2024-03-31,125300
2024-04-01,506169
2024-04-02,2458477
2024-04-03,6287465
2024-04-04,3217811
2024-04-05,1559688
2024-04-06,1299537
2024-04-07,7317855
2024-04-08,1078059
2024-04-09,110526
2024-04-10,1040134
2024-04-11,14707267
2024-04-12,2085966
2024-04-13,206416
2024-04-14,1816113
2024-04-15,1061720
2024-04-16,1616153
2024-04-17,2964677
2024-04-18,1901914
2024-04-19,1449491
2024-04-20,1877519
2024-04-21,7226615
2024-04-22,2371779
2024-04-23,459999
2024-04-24,7623897
2024-04-25,1228965
2024-04-26,3096243
2024-04-27,299350
2024-04-28,2082760
2024-04-29,2077284
2024-04-30,8294963
2024-05-01,3832869
2024-05-02,4705112
2024-05-03,3222563
2024-05-04,71128
2024-05-05,2557892
2024-05-06,516910
2024-05-07,2642586
2024-05-08,3901086
2024-05-09,9034936
2024-05-10,1364021
2024-05-11,9773773
2024-05-12,3660994
2024-05-13,302651
2024-05-14,2574175
2024-05-15,680019
2024-05-16,4654086
2024-05-17,11332595
2024-05-18,6471645
2024-05-19,4962157
2024-05-20,1974150
2024-05-21,2415136
2024-05-22,3752439
2024-05-23,2827666
2024-05-24,2549167
2024-05-25,2473023
2024-05-26,3536386
2024-05-27,3490089
2024-05-28,1108961
2024-05-29,7123084
2024-05-30,157055
2024-05-31,5409328
2024-06-01,132363
2024-06-02,10058856
2024-06-03,1804983
2024-06-04,4529044
2024-06-05,767704
2024-06-06,1722958
2024-06-07,1593457
2024-06-08,1256252
2024-06-09,175060
2024-06-10,18523192
2024-06-11,4620778
2024-06-12,11347626
2024-06-13,90767
2024-06-14,526071
2024-06-15,3463278
2024-06-16,2671499
2024-06-17,9421764
2024-06-18,1719325
2024-06-19,11679145
2024-06-20,2424855
2024-06-21,273108
2024-06-22,1622783
2024-06-23,7432628
2024-06-24,894085
2024-06-25,242694
2024-06-26,2265137
2024-06-27,7446551
2024-06-28,18679638
2024-06-29,2415474
2024-06-30,2500617
2024-07-01,2364432
2024-07-02,1213328
2024-07-03,1539128
2024-07-04,1334650
2024-07-05,3714759
2024-07-06,6268322
2024-07-07,1768659
2024-07-08,1547040
2024-07-09,8677376
2024-07-10,4073236
2024-07-11,1312126
2024-07-12,9124505
2024-07-13,1712971
2024-07-14,13929388
2024-07-15,12626971
2024-07-16,3125306
2024-07-17,1783269
2024-07-18,28002445
2024-07-19,9442839
2024-07-20,4303957
2024-07-21,2415542
2024-07-22,428346
2024-07-23,4913604
2024-07-24,2907334
2024-07-25,8908595
2024-07-26,7617755
2024-07-27,6750093
2024-07-28,2743625
2024-07-29,9031224
2024-07-30,2289767
2024-07-31,607082
2024-08-01,7212413
