date,Branch_11
2024-01-01,554169
2024-01-02,21970
2024-01-03,2937638
2024-01-04,2027989
2024-01-05,2574574
2024-01-06,7502159
2024-01-07,1464181
2024-01-08,5576712
2024-01-09,2202349
2024-01-10,552292
2024-01-11,136991
2024-01-12,2461498
2024-01-13,6660074
2024-01-14,1392553
2024-01-15,1401608
2024-01-16,1883155
2024-01-17,1617384
2024-01-18,1020241
2024-01-19,2064670
2024-01-20,462447
2024-01-21,2168492
2024-01-22,347640
2024-01-23,282941
2024-01-24,4380790
2024-01-25,149878
2024-01-26,1420397
2024-01-27,524504
2024-01-28,75127
2024-01-29,402377
2024-01-30,683444
2024-01-31,1982700
2024-02-01,309326
2024-02-02,1543739
2024-02-03,6068601
2024-02-04,1999691
2024-02-05,1102741
2024-02-06,556434
2024-02-07,1026857
2024-02-08,3979843
2024-02-09,2855843
2024-02-10,5385500
2024-02-11,5382863
2024-02-12,1068088
2024-02-13,4480537
2024-02-14,10106227
2024-02-15,2522040
2024-02-16,571256
2024-02-17,404287
2024-02-18,253223
2024-02-19,1145500
2024-02-20,1209439
2024-02-21,2772545
2024-02-22,38904
2024-02-23,1314951
2024-02-24,2897246
2024-02-25,8419012
2024-02-26,2627294
2024-02-27,2464911
2024-02-28,2586303
2024-02-29,3032285
2024-03-01,9086322
2024-03-02,5325685
2024-03-03,15273158
2024-03-04,1473582
2024-03-05,1326305
2024-03-06,2123358
2024-03-07,8321824
2024-03-08,5174182
2024-03-09,12916651
2024-03-10,309643
2024-03-11,471219
2024-03-12,215549
2024-03-13,9075444
2024-03-14,383629
2024-03-15,1930637
2024-03-16,2851063
2024-03-17,2463016
2024-03-18,347294
2024-03-19,2958833
2024-03-20,1704840
2024-03-21,2344424
2024-03-22,7209357
2024-03-23,9937126
2024-03-24,498761
2024-03-25,3304129
2024-03-26,5108636
2024-03-27,5444166
2024-03-28,2080802
2024-03-29,436433
2024-03-30,1134451
2024-03-31,1266828
2024-04-01,8167668
2024-04-02,213364
2024-04-03,2027525
2024-04-04,4260965
2024-04-05,11944299
2024-04-06,2193802
2024-04-07,2532343
2024-04-08,3150613
2024-04-09,3466915
2024-04-10,46879
2024-04-11,5282266
2024-04-12,3326073
2024-04-13,666434
2024-04-14,14033876
2024-04-15,4979622
2024-04-16,10485143
2024-04-17,3834760
2024-04-18,1295259
2024-04-19,4395077
2024-04-20,1044960
2024-04-21,2339250
2024-04-22,2728734
2024-04-23,1773584
2024-04-24,545902
2024-04-25,4514060
2024-04-26,302100
2024-04-27,2039118
2024-04-28,3077294
2024-04-29,732
2024-04-30,1632310
2024-05-01,183198
2024-05-02,3887727
2024-05-03,2782538
2024-05-04,6118611
2024-05-05,2119488
2024-05-06,3317462
2024-05-07,641877
2024-05-08,4760042
2024-05-09,2066517
2024-05-10,2108126
2024-05-11,2790539
2024-05-12,2410735
2024-05-13,293169
2024-05-14,3531513
2024-05-15,1572736
2024-05-16,5284408
2024-05-17,5728954
2024-05-18,3011545
2024-05-19,4291820
2024-05-20,284532
2024-05-21,6256803
2024-05-22,4014805
2024-05-23,3855808
2024-05-24,1340715
2024-05-25,5312664
2024-05-26,1432754
2024-05-27,288910
2024-05-28,2789972
2024-05-29,4111215
2024-05-30,1473602
2024-05-31,5495584
2024-06-01,11389797
2024-06-02,2949050
2024-06-03,1158383
2024-06-04,7871092
2024-06-05,2897727
2024-06-06,15723083
2024-06-07,181631
2024-06-08,4380674
2024-06-09,7998949
2024-06-10,13533083
2024-06-11,998712
2024-06-12,3906294
2024-06-13,6778201
2024-06-14,905935
2024-06-15,16509872
2024-06-16,3021031
2024-06-17,2504441
2024-06-18,1299194
2024-06-19,1619042
2024-06-20,5520403
2024-06-21,6156766
2024-06-22,6789279
2024-06-23,11597063
2024-06-24,2027902
2024-06-25,29277
2024-06-26,4528190
2024-06-27,6862011
2024-06-28,1366985
2024-06-29,1424228
2024-06-30,839256
2024-07-01,897492
2024-07-02,10587933
2024-07-03,9893578
2024-07-04,20027237
2024-07-05,785751
2024-07-06,81404
2024-07-07,11731495
2024-07-08,1496299
2024-07-09,5546927
2024-07-10,2233379
2024-07-11,9025562
2024-07-12,1638244
2024-07-13,3131367
2024-07-14,9493620
2024-07-15,17767068
2024-07-16,6108640
2024-07-17,673205
2024-07-18,967334
2024-07-19,4976294
2024-07-20,3778157
2024-07-21,5315451
2024-07-22,5704963
2024-07-23,9805068
2024-07-24,7348304
2024-07-25,4512323
2024-07-26,2643640
2024-07-27,17013719
2024-07-28,28197630
2024-07-29,2623213
2024-07-30,2367773
2024-07-31,4702541
2024-08-01,2014006
