date,Branch_18
2024-01-01,1256008
2024-01-02,685875
2024-01-03,2325531
2024-01-04,89403
2024-01-05,162442
2024-01-06,3434174
2024-01-07,5591744
2024-01-08,36134
2024-01-09,882203
2024-01-10,4291035
2024-01-11,3312443
2024-01-12,1200740
2024-01-13,7123384
2024-01-14,1535496
2024-01-15,657745
2024-01-16,8445873
2024-01-17,3211968
2024-01-18,3618033
2024-01-19,2107050
2024-01-20,5778945
2024-01-21,5079547
2024-01-22,2099141
2024-01-23,5985389
2024-01-24,915939
2024-01-25,2072743
2024-01-26,2801312
2024-01-27,5578895
2024-01-28,4127256
2024-01-29,1771822
2024-01-30,2260979
2024-01-31,1549061
2024-02-01,2664040
2024-02-02,951784
2024-02-03,7301234
2024-02-04,1140429
2024-02-05,3587249
2024-02-06,2632286
2024-02-07,8325496
2024-02-08,3624834
2024-02-09,7641267
2024-02-10,1691860
2024-02-11,1866121
2024-02-12,519453
2024-02-13,1622913
2024-02-14,486492
2024-02-15,1622130
2024-02-16,3335958
2024-02-17,9165328
2024-02-18,2043247
2024-02-19,1025388
2024-02-20,580669
2024-02-21,1272306
2024-02-22,6546945
2024-02-23,473758
2024-02-24,5284735
2024-02-25,2871335
2024-02-26,1672812
2024-02-27,372542
2024-02-28,184644
2024-02-29,330174
2024-03-01,1526413
2024-03-02,2528569
2024-03-03,2752486
2024-03-04,1754387
2024-03-05,3510977
2024-03-06,3008030
2024-03-07,2324470
2024-03-08,550319
2024-03-09,13896744
2024-03-10,4528717
2024-03-11,1044085
2024-03-12,833930
2024-03-13,3937577
2024-03-14,1884287
2024-03-15,211129
2024-03-16,2366383
2024-03-17,1109161
2024-03-18,3283745
2024-03-19,3674124
2024-03-20,5726706
2024-03-21,2091150
2024-03-22,4257470
2024-03-23,571256
2024-03-24,1467702
2024-03-25,5049513
2024-03-26,2664003
2024-03-27,873148
2024-03-28,4370884
2024-03-29,527163
2024-03-30,231268
2024-03-31,1945055
2024-04-01,2752846
2024-04-02,2929998
2024-04-03,8746160
2024-04-04,610008
2024-04-05,36586
2024-04-06,657268
2024-04-07,286825
2024-04-08,7073202
2024-04-09,4207233
2024-04-10,185318
2024-04-11,6559216
2024-04-12,1728021
2024-04-13,1455470
2024-04-14,10837837
2024-04-15,176028
2024-04-16,9019140
2024-04-17,8322231
2024-04-18,615771
2024-04-19,588871
2024-04-20,5364481
2024-04-21,13673321
2024-04-22,9360285
2024-04-23,648670
2024-04-24,5244780
2024-04-25,4876760
2024-04-26,383104
2024-04-27,9355277
2024-04-28,5687890
2024-04-29,20805
2024-04-30,4193158
2024-05-01,1706339
2024-05-02,2088481
2024-05-03,6114077
2024-05-04,3036615
2024-05-05,2681556
2024-05-06,3819197
2024-05-07,1429768
2024-05-08,9830930
2024-05-09,2869406
2024-05-10,5898705
2024-05-11,891502
2024-05-12,12298655
2024-05-13,4850017
2024-05-14,7046
2024-05-15,3670487
2024-05-16,4436713
2024-05-17,525113
2024-05-18,6130671
2024-05-19,1716455
2024-05-20,2646814
2024-05-21,3083090
2024-05-22,3615721
2024-05-23,10088744
2024-05-24,1241003
2024-05-25,6971497
2024-05-26,1306417
2024-05-27,1506249
2024-05-28,9449854
2024-05-29,4074288
2024-05-30,7610032
2024-05-31,556357
2024-06-01,72577
2024-06-02,9855021
2024-06-03,4982160
2024-06-04,7006509
2024-06-05,2495403
2024-06-06,5083398
2024-06-07,12099355
2024-06-08,442670
2024-06-09,20608528
2024-06-10,3829496
2024-06-11,7629606
2024-06-12,4167106
2024-06-13,206532
2024-06-14,7911943
2024-06-15,1217733
2024-06-16,3804034
2024-06-17,925407
2024-06-18,812329
2024-06-19,929644
2024-06-20,1958955
2024-06-21,391095
2024-06-22,4464195
2024-06-23,4965187
2024-06-24,14988280
2024-06-25,10175972
2024-06-26,15521178
2024-06-27,295848
2024-06-28,2784154
2024-06-29,10034268
2024-06-30,590534
2024-07-01,1608963
2024-07-02,3692018
2024-07-03,1689240
2024-07-04,862982
2024-07-05,13400344
2024-07-06,5626817
2024-07-07,1636592
2024-07-08,4604837
2024-07-09,1565699
2024-07-10,4926122
2024-07-11,5075810
2024-07-12,2771288
2024-07-13,6190836
2024-07-14,1485018
2024-07-15,217
2024-07-16,28565731
2024-07-17,9712333
2024-07-18,7452560
2024-07-19,4623660
2024-07-20,455255
2024-07-21,15245102
2024-07-22,586264
2024-07-23,15730858
2024-07-24,627944
2024-07-25,4644484
2024-07-26,5025656
2024-07-27,6301629
2024-07-28,25965
2024-07-29,5481636
2024-07-30,3879528
2024-07-31,19939338
2024-08-01,10138342
