date,Branch_19
2024-01-01,1546833
2024-01-02,2686462
2024-01-03,2824732
2024-01-04,4061905
2024-01-05,51050
2024-01-06,35107
2024-01-07,3096291
2024-01-08,194930
2024-01-09,771388
2024-01-10,4306752
2024-01-11,2225130
2024-01-12,810962
2024-01-13,89728
2024-01-14,515368
2024-01-15,3277198
2024-01-16,5885408
2024-01-17,1348708
2024-01-18,1193697
2024-01-19,413035
2024-01-20,3556208
2024-01-21,1614047
2024-01-22,2408905
2024-01-23,220452
2024-01-24,1171046
2024-01-25,1460177
2024-01-26,1819018
2024-01-27,1961270
2024-01-28,300400
2024-01-29,1415528
2024-01-30,164888
2024-01-31,390478
2024-02-01,452809
2024-02-02,3113485
2024-02-03,6688024
2024-02-04,3576154
2024-02-05,8285392
2024-02-06,464064
2024-02-07,3975689
2024-02-08,970494
2024-02-09,5012632
2024-02-10,487550
2024-02-11,6936296
2024-02-12,83961
2024-02-13,1448073
2024-02-14,484956
2024-02-15,200168
2024-02-16,2198573
2024-02-17,2304884
2024-02-18,993827
2024-02-19,305170
2024-02-20,532568
2024-02-21,241691
2024-02-22,5037387
2024-02-23,2789102
2024-02-24,1861282
2024-02-25,586330
2024-02-26,1117365
2024-02-27,3595471
2024-02-28,449985
2024-02-29,874493
2024-03-01,1413221
2024-03-02,5340934
2024-03-03,4326329
2024-03-04,968140
2024-03-05,8630732
2024-03-06,4019299
2024-03-07,4319704
2024-03-08,3994475
2024-03-09,402934
2024-03-10,3276412
2024-03-11,2673113
2024-03-12,705006
2024-03-13,3791306
2024-03-14,1372416
2024-03-15,5060786
2024-03-16,1811886
2024-03-17,55816
2024-03-18,4756041
2024-03-19,1972428
2024-03-20,1220008
2024-03-21,1982801
2024-03-22,4970387
2024-03-23,1676643
2024-03-24,4602783
2024-03-25,13533214
2024-03-26,2657933
2024-03-27,3194402
2024-03-28,782265
2024-03-29,2870117
2024-03-30,8468128
2024-03-31,1455566
2024-04-01,752577
2024-04-02,916816
2024-04-03,597119
2024-04-04,550404
2024-04-05,2365814
2024-04-06,4286624
2024-04-07,763816
2024-04-08,3305286
2024-04-09,46777
2024-04-10,8758670
2024-04-11,3018578
2024-04-12,2381156
2024-04-13,1024595
2024-04-14,3556378
2024-04-15,2655554
2024-04-16,3497620
2024-04-17,5253107
2024-04-18,1899213
2024-04-19,2584359
2024-04-20,12658473
2024-04-21,3286784
2024-04-22,6761578
2024-04-23,4096330
2024-04-24,1451234
2024-04-25,965446
2024-04-26,5377474
2024-04-27,1533866
2024-04-28,2806826
2024-04-29,1540927
2024-04-30,15067
2024-05-01,1712844
2024-05-02,5188535
2024-05-03,67439
2024-05-04,1780438
2024-05-05,248843
2024-05-06,1025178
2024-05-07,7322504
2024-05-08,2086799
2024-05-09,3079845
2024-05-10,685107
2024-05-11,689598
2024-05-12,9372555
2024-05-13,6045778
2024-05-14,6243629
2024-05-15,277219
2024-05-16,4652817
2024-05-17,4551879
2024-05-18,3064626
2024-05-19,1854320
2024-05-20,6790022
2024-05-21,1461217
2024-05-22,1441047
2024-05-23,1625671
2024-05-24,5606877
2024-05-25,10865829
2024-05-26,5592738
2024-05-27,868241
2024-05-28,11773726
2024-05-29,718752
2024-05-30,2289071
2024-05-31,4222065
2024-06-01,9301773
2024-06-02,2316829
2024-06-03,5748146
2024-06-04,962189
2024-06-05,10756273
2024-06-06,1727335
2024-06-07,11613268
2024-06-08,72048
2024-06-09,6230750
2024-06-10,3858397
2024-06-11,4753586
2024-06-12,9500540
2024-06-13,11024252
2024-06-14,1951629
2024-06-15,7175067
2024-06-16,9030584
2024-06-17,4022106
2024-06-18,2470283
2024-06-19,3455683
2024-06-20,6787620
2024-06-21,9910639
2024-06-22,8958228
2024-06-23,4831316
2024-06-24,2575559
2024-06-25,1597986
2024-06-26,2811607
2024-06-27,3840403
2024-06-28,1167831
2024-06-29,10536837
2024-06-30,4529378
2024-07-01,1367914
2024-07-02,5512647
2024-07-03,34053
2024-07-04,4208627
2024-07-05,27348157
2024-07-06,2305400
2024-07-07,9635470
2024-07-08,11058302
2024-07-09,420302
2024-07-10,7308155
2024-07-11,4057019
2024-07-12,4321725
2024-07-13,641831
2024-07-14,6551417
2024-07-15,8829102
2024-07-16,3839097
2024-07-17,3263711
2024-07-18,6649898
2024-07-19,2525939
2024-07-20,2946182
2024-07-21,809747
2024-07-22,5922058
2024-07-23,738567
2024-07-24,2567047
2024-07-25,2720809
2024-07-26,539709
2024-07-27,8387554
2024-07-28,6868458
2024-07-29,4462601
2024-07-30,8029643
2024-07-31,976133
2024-08-01,7155058
