date,Branch_12
2024-01-01,502989
2024-01-02,3717192
2024-01-03,1889781
2024-01-04,85975
2024-01-05,7402987
2024-01-06,3242474
2024-01-07,2755685
2024-01-08,958742
2024-01-09,2697606
2024-01-10,3234113
2024-01-11,1842813
2024-01-12,4322176
2024-01-13,955464
2024-01-14,3671220
2024-01-15,215491
2024-01-16,653574
2024-01-17,744991
2024-01-18,2106712
2024-01-19,565047
2024-01-20,2221760
2024-01-21,1036534
2024-01-22,6028456
2024-01-23,437258
2024-01-24,1344873
2024-01-25,10533043
2024-01-26,3065590
2024-01-27,4562058
2024-01-28,1858430
2024-01-29,4800538
2024-01-30,1651401
2024-01-31,6491501
2024-02-01,1029189
2024-02-02,2472413
2024-02-03,741793
2024-02-04,8156340
2024-02-05,45255
2024-02-06,26610
2024-02-07,1324968
2024-02-08,2090274
2024-02-09,1869200
2024-02-10,1199141
2024-02-11,2371824
2024-02-12,2611931
2024-02-13,974830
2024-02-14,365646
2024-02-15,1895628
2024-02-16,3878116
2024-02-17,3929804
2024-02-18,6481432
2024-02-19,2513160
2024-02-20,2261215
2024-02-21,1906137
2024-02-22,250313
2024-02-23,2426254
2024-02-24,4805208
2024-02-25,928740
2024-02-26,1072648
2024-02-27,263234
2024-02-28,951366
2024-02-29,1790487
2024-03-01,7066901
2024-03-02,512532
2024-03-03,101413
2024-03-04,1713924
2024-03-05,1410911
2024-03-06,947153
2024-03-07,1668900
2024-03-08,1649084
2024-03-09,430126
2024-03-10,3150219
2024-03-11,2863414
2024-03-12,3250253
2024-03-13,3569078
2024-03-14,5344511
2024-03-15,372405
2024-03-16,155638
2024-03-17,3004929
2024-03-18,838589
2024-03-19,6195425
2024-03-20,5903449
2024-03-21,1715744
2024-03-22,692624
2024-03-23,6590298
2024-03-24,1770082
2024-03-25,545911
2024-03-26,315412
2024-03-27,2551335
2024-03-28,2173613
2024-03-29,255992
2024-03-30,5092090
2024-03-31,703435
2024-04-01,5327442
2024-04-02,6170711
2024-04-03,1804967
2024-04-04,1029658
2024-04-05,3178869
2024-04-06,5936374
2024-04-07,15370419
2024-04-08,8288026
2024-04-09,6440993
2024-04-10,2375832
2024-04-11,2010996
2024-04-12,3552584
2024-04-13,1431772
2024-04-14,2644391
2024-04-15,8898762
2024-04-16,4073473
2024-04-17,199229
2024-04-18,2943865
2024-04-19,3618945
2024-04-20,7049763
2024-04-21,1450486
2024-04-22,632790
2024-04-23,11314593
2024-04-24,282318
2024-04-25,903941
2024-04-26,2177396
2024-04-27,1384006
2024-04-28,3421794
2024-04-29,3890461
2024-04-30,11461947
2024-05-01,1655817
2024-05-02,1453898
2024-05-03,131971
2024-05-04,6848947
2024-05-05,1507005
2024-05-06,5177908
2024-05-07,14105224
2024-05-08,685882
2024-05-09,10614843
2024-05-10,10233990
2024-05-11,1432434
2024-05-12,3645623
2024-05-13,11589027
2024-05-14,268411
2024-05-15,7879040
2024-05-16,401664
2024-05-17,3563867
2024-05-18,12998058
2024-05-19,9052625
2024-05-20,2287399
2024-05-21,5697458
2024-05-22,1194805
2024-05-23,3638737
2024-05-24,2552194
2024-05-25,3757545
2024-05-26,2102756
2024-05-27,3375515
2024-05-28,2956886
2024-05-29,6620595
2024-05-30,18012099
2024-05-31,854737
2024-06-01,517760
2024-06-02,369691
2024-06-03,2010987
2024-06-04,7200456
2024-06-05,5685248
2024-06-06,5684746
2024-06-07,11206007
2024-06-08,5220163
2024-06-09,4259393
2024-06-10,3574306
2024-06-11,6170409
2024-06-12,4010846
2024-06-13,2901523
2024-06-14,787363
2024-06-15,1389585
2024-06-16,6359468
2024-06-17,1907920
2024-06-18,1062889
2024-06-19,1721978
2024-06-20,648066
2024-06-21,4431238
2024-06-22,5006244
2024-06-23,8524969
2024-06-24,11487411
2024-06-25,1013111
2024-06-26,2378471
2024-06-27,468938
2024-06-28,15901257
2024-06-29,537371
2024-06-30,5099854
2024-07-01,3515470
2024-07-02,13265505
2024-07-03,3521003
2024-07-04,112710
2024-07-05,124458
2024-07-06,11087590
2024-07-07,18391284
2024-07-08,2890217
2024-07-09,8628720
2024-07-10,2351726
2024-07-11,488120
2024-07-12,410302
2024-07-13,9728590
2024-07-14,6816724
2024-07-15,7439058
2024-07-16,3218205
2024-07-17,4712627
2024-07-18,5507850
2024-07-19,7451263
2024-07-20,19400467
2024-07-21,2877201
2024-07-22,6419386
2024-07-23,464911
2024-07-24,13316445
2024-07-25,2216477
2024-07-26,11288453
2024-07-27,6599739
2024-07-28,7134714
2024-07-29,3458236
2024-07-30,17190954
2024-07-31,2106875
2024-08-01,11577673
