date,Branch_1,sales
2024-01-01,2239656.0,
2024-01-02,306364.0,
2024-01-03,259969.0,
2024-01-04,1681961.0,
2024-01-05,270167.0,
2024-01-06,4377568.0,
2024-01-07,135647.0,
2024-01-08,143798.0,
2024-01-09,122444.0,
2024-01-10,596675.0,
2024-01-11,2309071.0,
2024-01-12,129063.0,
2024-01-13,239742.0,
2024-01-14,1190001.0,
2024-01-15,756529.0,
2024-01-16,47821.0,
2024-01-17,2461824.0,
2024-01-18,4945987.0,
2024-01-19,4080307.0,
2024-01-20,8169238.0,
2024-01-21,4657036.0,
2024-01-22,308937.0,
2024-01-23,1489353.0,
2024-01-24,873230.0,
2024-01-25,279243.0,
2024-01-26,713240.0,
2024-01-27,882227.0,
2024-01-28,330350.0,
2024-01-29,3204550.0,
2024-01-30,22633.0,
2024-01-31,5245369.0,
2024-02-01,1325908.0,
2024-02-02,692104.0,
2024-02-03,96983.0,
2024-02-04,4030461.0,
2024-02-05,1599213.0,
2024-02-06,453312.0,
2024-02-07,1635634.0,
2024-02-08,96787.0,
2024-02-09,778475.0,
2024-02-10,2280784.0,
2024-02-11,198508.0,
2024-02-12,12070006.0,
2024-02-13,6808443.0,
2024-02-14,501928.0,
2024-02-15,2128621.0,
2024-02-16,2114149.0,
2024-02-17,2223616.0,
2024-02-18,2353371.0,
2024-02-19,79968.0,
2024-02-20,2629136.0,
2024-02-21,2042707.0,
2024-02-22,3850902.0,
2024-02-23,2179004.0,
2024-02-24,3783653.0,
2024-02-25,1361068.0,
2024-02-26,7123282.0,
2024-02-27,1244341.0,
2024-02-28,686927.0,
2024-02-29,1143259.0,
2024-03-01,1595229.0,
2024-03-02,395391.0,
2024-03-03,63332.0,
2024-03-04,1487213.0,
2024-03-05,2564570.0,
2024-03-06,695399.0,
2024-03-07,1347879.0,
2024-03-08,774510.0,
2024-03-09,716303.0,
2024-03-10,5545424.0,
2024-03-11,990089.0,
2024-03-12,6049156.0,
2024-03-13,171697.0,
2024-03-14,4211676.0,
2024-03-15,1527742.0,
2024-03-16,145009.0,
2024-03-17,641154.0,
2024-03-18,7956159.0,
2024-03-19,4247689.0,
2024-03-20,168635.0,
2024-03-21,194684.0,
2024-03-22,4201020.0,
2024-03-23,5975699.0,
2024-03-24,3773520.0,
2024-03-25,1954121.0,
2024-03-26,1923817.0,
2024-03-27,3953163.0,
2024-03-28,15711415.0,
2024-03-29,1080973.0,
2024-03-30,4974842.0,
2024-03-31,1774675.0,
2024-04-01,3894015.0,
2024-04-02,7585845.0,
2024-04-03,5547080.0,
2024-04-04,914926.0,
2024-04-05,3062898.0,
2024-04-06,4375523.0,
2024-04-07,421464.0,
2024-04-08,766777.0,
2024-04-09,302864.0,
2024-04-10,4871728.0,
2024-04-11,3007090.0,
2024-04-12,7518912.0,
2024-04-13,13281817.0,
2024-04-14,28861.0,
2024-04-15,14158035.0,
2024-04-16,448490.0,
2024-04-17,5734202.0,
2024-04-18,3770083.0,
2024-04-19,8584896.0,
2024-04-20,2154998.0,
2024-04-21,13084796.0,
2024-04-22,2445229.0,
2024-04-23,2176470.0,
2024-04-24,1746883.0,
2024-04-25,2724924.0,
2024-04-26,4359692.0,
2024-04-27,296854.0,
2024-04-28,894396.0,
2024-04-29,838114.0,
2024-04-30,1310041.0,
2024-05-01,4631127.0,
2024-05-02,6061583.0,
2024-05-03,14938630.0,
2024-05-04,13775627.0,
2024-05-05,5656.0,
2024-05-06,9741243.0,
2024-05-07,11105982.0,
2024-05-08,1958135.0,
2024-05-09,1610753.0,
2024-05-10,4522393.0,
2024-05-11,1644568.0,
2024-05-12,451092.0,
2024-05-13,6214784.0,
2024-05-14,785391.0,
2024-05-15,861745.0,
2024-05-16,4588308.0,
2024-05-17,7489108.0,
2024-05-18,1847765.0,
2024-05-19,714774.0,
2024-05-20,4742995.0,
2024-05-21,1521132.0,
2024-05-22,4106019.0,
2024-05-23,2906683.0,
2024-05-24,935657.0,
2024-05-25,894759.0,
2024-05-26,1022589.0,
2024-05-27,2920175.0,
2024-05-28,281842.0,
2024-05-29,1592258.0,
2024-05-30,2121063.0,
2024-05-31,2250551.0,
2024-06-01,2976443.0,
2024-06-02,8493925.0,
2024-06-03,16047853.0,
2024-06-04,1268589.0,
2024-06-05,9974851.0,
2024-06-06,1169715.0,
2024-06-07,8945044.0,
2024-06-08,7345003.0,
2024-06-09,6749464.0,
2024-06-10,4189735.0,
2024-06-11,14359367.0,
2024-06-12,8128897.0,
2024-06-13,3203652.0,
2024-06-14,9460333.0,
2024-06-15,2184505.0,
2024-06-16,766368.0,
2024-06-17,10564410.0,
2024-06-18,3540593.0,
2024-06-19,2580982.0,
2024-06-20,380261.0,
2024-06-21,237768.0,
2024-06-22,5624975.0,
2024-06-23,1669242.0,
2024-06-24,20086933.0,
2024-06-25,1201509.0,
2024-06-26,2114061.0,
2024-06-27,4568912.0,
2024-06-28,149953.0,
2024-06-29,1770173.0,
2024-06-30,2933799.0,
2024-07-01,8693931.0,
2024-07-02,208620.0,
2024-07-03,6996854.0,
2024-07-04,14566102.0,
2024-07-05,2730201.0,
2024-07-06,1885510.0,
2024-07-07,2185978.0,
2024-07-08,6279418.0,
2024-07-09,5089323.0,
2024-07-10,716169.0,
2024-07-11,6800395.0,
2024-07-12,7615815.0,
2024-07-13,3600286.0,
2024-07-14,5550494.0,
2024-07-15,6381637.0,
2024-07-16,1920127.0,
2024-07-17,9740533.0,
2024-07-18,8167580.0,
2024-07-19,5775396.0,
2024-07-20,150388.0,
2024-07-21,871092.0,
2024-07-22,6535661.0,
2024-07-23,2807218.0,
2024-07-24,15672634.0,
2024-07-25,2440401.0,
2024-07-26,8007056.0,
2024-07-27,5796612.0,
2024-07-28,18057769.0,
2024-07-29,3662500.0,
2024-07-30,339236.0,
2024-07-31,8412242.0,
2024-08-01,9446755.0,
2024-08-03,,5.0
